Time,Average(B)
(us),(mV)

-9.14575196,-0.01970295
-9.13325197,-0.02481287
-9.12075197,-0.02048983
-9.10825197,-0.02059235
-9.09575197,-0.02077118
-9.08325197,-0.01850832
-9.07075197,-0.01964332
-9.05825197,-0.02709720
-9.04575197,-0.02351093
-9.03325197,-0.02225194
-9.02075197,-0.02084750
-9.00825197,-0.02219709
-8.99575197,-0.02396639
-8.98325197,-0.02428830
-8.97075198,-0.02683251
-8.95825198,-0.02729510
-8.94575198,-0.02303405
-8.93325198,-0.02219710
-8.92075198,-0.02232110
-8.90825198,-0.02054227
-8.89575198,-0.02110978
-8.88325198,-0.02219233
-8.87075198,-0.02110025
-8.85825198,-0.02386624
-8.84575198,-0.02520393
-8.83325198,-0.02730227
-8.82075198,-0.03023279
-8.80825198,-0.02528976
-8.79575199,-0.02193958
-8.78325199,-0.02366593
-8.77075199,-0.02393062
-8.75825199,-0.01808864
-8.74575199,-0.02027284
-8.73325199,-0.02370648
-8.72075199,-0.02406416
-8.70825199,-0.02919316
-8.69575199,-0.02870911
-8.68325199,-0.02924086
-8.67075199,-0.02772193
-8.65825199,-0.02632464
-8.64575199,-0.02815115
-8.63325200,-0.02271931
-8.62075200,-0.02443851
-8.60825200,-0.02105254
-8.59575200,-0.02062572
-8.58325200,-0.02005822
-8.57075200,-0.01922367
-8.55825200,-0.02100009
-8.54575200,-0.02015837
-8.53325200,-0.02172259
-8.52075200,-0.02406653
-8.50825200,-0.02126000
-8.49575200,-0.02012261
-8.48325200,-0.02006776
-8.47075200,-0.02450050
-8.45825201,-0.02080457
-8.44575201,-0.02106685
-8.43325201,-0.02423345
-8.42075201,-0.02308890
-8.40825201,-0.02115747
-8.39575201,-0.02281707
-8.38325201,-0.02318905
-8.37075201,-0.02216134
-8.35825201,-0.01958372
-8.34575201,-0.02860419
-8.33325201,-0.02693506
-8.32075201,-0.02465788
-8.30825201,-0.02698751
-8.29575202,-0.02297445
-8.28325202,-0.02116222
-8.27075202,-0.02277653
-8.25825202,-0.02329873
-8.24575202,-0.02486533
-8.23325202,-0.02829898
-8.22075202,-0.02741673
-8.20825202,-0.02751211
-8.19575202,-0.02522300
-8.18325202,-0.02018700
-8.17075202,-0.02277176
-8.15825202,-0.02501080
-8.14575202,-0.02278130
-8.13325202,-0.02752163
-8.12075203,-0.02460065
-8.10825203,-0.02710197
-8.09575203,-0.02220426
-8.08325203,-0.02313182
-8.07075203,-0.02277653
-8.05825203,-0.02271454
-8.04575203,-0.01865376
-8.03325203,-0.01855839
-8.02075203,-0.02213988
-8.00825203,-0.02401645
-7.99575203,-0.02573806
-7.98325203,-0.02626978
-7.97075203,-0.02422868
-7.95825204,-0.02292914
-7.94575204,-0.02434075
-7.93325204,-0.02267879
-7.92075204,-0.02419290
-7.90825204,-0.02265491
-7.89575204,-0.02381378
-7.88325204,-0.02283376
-7.87075204,-0.02606473
-7.85825204,-0.02313898
-7.84575204,-0.02563314
-7.83325204,-0.02273124
-7.82075204,-0.02376609
-7.80825204,-0.02333449
-7.79575204,-0.02213511
-7.78325205,-0.02533030
-7.77075205,-0.02511333
-7.75825205,-0.02662029
-7.74575205,-0.03173979
-7.73325205,-0.03079316
-7.72075205,-0.02960090
-7.70825205,-0.02538036
-7.69575205,-0.02078788
-7.68325205,-0.01866808
-7.67075205,-0.02172974
-7.65825205,-0.02783400
-7.64575205,-0.02683490
-7.63325205,-0.02497263
-7.62075206,-0.02365402
